card_id,customer_id,account_id,card_type,credit_limit,issue_date,processed_by_employee_id
1,4709,17265,Amex,12740.34,2023-03-24,1127
2,4353,3354,Amex,5756.35,2023-03-10,1460
3,4717,5630,Visa,10730.4,2023-12-26,861
4,2522,5043,MasterCard,8712.85,2024-03-22,1295
5,1577,10723,Amex,4033.14,2024-01-21,1131
6,2051,34251,MasterCard,11516.26,2021-02-26,1096
7,5471,27151,Amex,19933.54,2021-04-18,1725
8,1532,5309,Discover,4130.44,2023-07-09,1045
9,2502,19080,Amex,13245.72,2023-05-14,1639
10,2281,13549,MasterCard,6434.56,2023-01-27,122
11,9402,21142,Visa,13614.37,2022-03-30,467
12,15384,35537,Visa,10990.1,2023-08-23,1239
13,10560,29946,Discover,16217.11,2022-06-27,331
14,14604,191,MasterCard,16886.62,2023-12-14,1483
15,6886,19105,Amex,17261.31,2023-11-19,88
16,8075,32799,MasterCard,1617.49,2022-10-08,1397
17,935,12674,Amex,9118.25,2023-04-13,1124
18,5832,14973,MasterCard,18654.47,2023-04-17,872
19,6777,36689,Visa,1568.99,2022-09-24,1688
20,10719,22081,Visa,13033.16,2022-01-01,131
21,17718,23467,Discover,14417.21,2022-05-14,1686
22,15268,38702,Discover,6281.16,2022-05-16,1333
23,9947,924,Visa,1000.35,2023-06-07,770
24,11591,28837,Discover,12418.18,2022-02-18,344
25,16588,28872,Amex,17622.55,2021-07-12,1516
26,17655,14392,Discover,9258.1,2022-02-16,1438
27,11700,10894,MasterCard,13729.4,2021-09-03,806
28,18991,7896,Visa,3720.9,2020-07-06,386
29,6377,37789,MasterCard,4818.87,2023-05-26,1216
30,19279,20766,Visa,3273.35,2021-07-22,956
31,6105,8918,Discover,19371.06,2021-02-28,277
32,7985,21813,Amex,7139.34,2020-11-27,1185
33,11208,33200,Visa,10557.12,2021-11-09,460
34,16677,13625,Amex,7297.23,2024-04-27,1338
35,8708,11367,Visa,7593.65,2022-11-07,22
36,15731,21268,Amex,10629.52,2022-10-03,253
37,19848,20840,Amex,13968.21,2024-06-02,748
38,16755,3361,Discover,19113.23,2021-02-06,857
39,4567,26979,Visa,11560.09,2021-01-22,1585
40,10600,10021,Visa,8782.97,2023-01-08,475
41,15651,20577,MasterCard,19341.84,2022-08-01,1083
42,4850,31066,Discover,5547.62,2021-11-25,511
43,18778,33247,Visa,7573.14,2022-09-30,1706
44,5325,4658,MasterCard,16985.31,2023-10-23,1500
45,14009,9113,Visa,1394.21,2023-02-05,700
46,17951,39970,MasterCard,17483.15,2020-08-19,976
47,4293,22260,Discover,17071.09,2023-06-05,1807
48,10183,25616,MasterCard,8035.12,2021-08-21,190
49,18027,3398,MasterCard,18850.41,2021-06-26,958
50,2585,23312,Visa,18142.81,2023-03-03,687
51,12305,36193,MasterCard,9752.9,2020-07-21,958
52,4273,11065,Amex,8918.31,2021-03-30,563
53,6701,1802,MasterCard,2412.19,2023-10-24,1900
54,15160,33972,MasterCard,8304.47,2024-04-10,1591
55,13875,3998,MasterCard,17088.32,2020-07-13,1268
56,10266,22314,Discover,11314.64,2023-02-28,832
57,15852,5831,Visa,15098.37,2024-03-08,1529
58,19254,28860,Discover,11110.58,2022-01-23,1155
59,8365,1523,Amex,19075.99,2021-03-27,1509
60,12330,17141,Visa,5023.59,2023-07-11,1843
61,12623,8794,Amex,19174.21,2024-02-03,647
62,18197,4994,Discover,11219.37,2022-05-28,21
63,13583,33914,Discover,8180.57,2021-02-20,841
64,1971,14002,Amex,4133.36,2023-10-11,167
65,15996,23218,Visa,8294.02,2023-08-13,1298
66,14331,22873,Amex,16539.06,2023-02-28,388
67,9849,6596,Discover,18671.12,2023-12-16,601
68,6722,32872,Amex,3233.52,2022-04-01,316
69,3044,34745,MasterCard,3155.88,2024-02-22,14
70,17757,24763,Amex,15566.53,2023-11-15,242
71,2725,14741,MasterCard,2593.01,2022-02-08,777
72,4345,533,Discover,16115.63,2022-03-28,1370
73,6034,35646,Discover,4956.58,2020-10-05,565
74,9511,20921,MasterCard,5595.17,2023-12-02,898
75,14213,27018,Amex,19697.72,2022-05-06,1364
76,11901,6981,Discover,9034.84,2023-10-17,92
77,19985,35668,MasterCard,5675.06,2024-01-25,1391
78,5701,4092,Discover,15784.45,2023-02-13,956
79,3825,19273,Discover,8858.52,2023-01-26,1479
80,14679,29714,Amex,6493.22,2023-08-17,1452
81,12034,37060,Amex,4787.22,2021-07-11,509
82,7840,5750,MasterCard,19741.91,2023-10-25,776
83,16718,38111,Amex,17850.65,2022-12-22,1967
84,685,30114,Discover,17171.2,2021-03-29,35
85,3376,79,Visa,6959.84,2024-04-05,206
86,14070,175,Amex,6100.54,2021-04-20,1105
87,6383,12431,Visa,11982.14,2021-08-30,1956
88,7805,5540,Amex,11773.21,2021-05-01,1586
89,19254,1243,Discover,18052.91,2024-04-27,1896
90,7677,10572,MasterCard,3426.81,2024-03-24,1412
91,43,5987,Discover,12734.57,2023-04-27,1026
92,11515,30623,Amex,7952.47,2021-02-20,1022
93,13317,5698,Visa,17055.12,2023-10-11,1414
94,11581,971,Visa,12561.77,2023-12-24,566
95,3445,2530,Amex,8991.0,2020-10-28,1130
96,18021,17149,MasterCard,9230.79,2023-08-20,1796
97,6505,36208,Visa,16341.9,2020-10-24,1846
98,10712,13947,Visa,17264.63,2022-08-10,1501
99,18217,13514,Visa,19225.51,2023-03-18,703
100,13499,26650,Discover,12986.28,2020-08-27,402
101,17433,21988,Amex,18530.13,2024-01-06,730
102,17642,16879,Amex,10869.04,2024-01-24,1580
103,13120,19429,MasterCard,15788.75,2021-11-12,162
104,10764,9138,Visa,2818.87,2020-08-06,202
105,12124,31040,Amex,5273.09,2020-11-29,1982
106,4827,7560,Visa,10007.71,2022-10-29,996
107,11361,37524,MasterCard,1883.2,2024-06-27,270
108,2385,10285,Amex,1664.78,2023-01-26,1887
109,2911,38657,Visa,1903.35,2020-09-19,816
110,7191,27364,Amex,9027.71,2022-10-01,1295
111,17672,29421,Visa,5253.4,2024-07-01,456
112,13473,11520,Amex,7237.53,2024-05-23,1486
113,19794,19780,MasterCard,4609.38,2020-09-24,1751
114,10818,15897,Discover,7937.09,2022-05-22,1276
115,11940,28855,Discover,1787.86,2021-08-24,1017
116,9799,7135,Discover,15808.25,2021-10-30,1726
117,7841,21043,Visa,17759.58,2022-05-07,296
118,9404,4158,Discover,11114.52,2021-06-10,1749
119,19915,27346,Discover,4473.45,2023-06-14,720
120,12226,26045,Discover,6437.94,2020-09-25,1773
121,3205,1473,Visa,5813.96,2020-12-09,338
122,2182,34808,Amex,18488.18,2023-12-23,879
123,19593,7532,Amex,1458.53,2020-12-28,1077
124,6561,36399,Visa,9169.88,2024-01-18,792
125,14079,1612,MasterCard,1304.36,2022-09-02,1946
126,11506,39547,Visa,19684.25,2023-07-24,217
127,13113,14522,Visa,17036.13,2021-07-31,764
128,9840,17689,MasterCard,12574.56,2022-10-15,188
129,3744,16938,Discover,5935.1,2022-04-26,380
130,18943,38050,MasterCard,12639.46,2020-08-31,493
